sample,total_in,total_out,raw_matched,raw_unmatched,excluded_bx,corrected_bx
adult-adipose-1,55096206,14388664,52980220,2115986,38591556,561181
adult-adrenal-gland-1,47034779,32992844,46142821,891958,13149977,1091813
adult-adrenal-gland-2,34855203,8332368,33562637,1292566,25230269,468426
adult-artery-1,49569328,13725091,47771509,1797819,34046418,671105
adult-bladder-1,34574082,3714469,33838935,735147,30124466,115434
adult-bladder-2,51614005,6103698,49909185,1704820,43805487,270145
adult-bone-marrow-1,22584658,7699280,21107150,1477508,13407870,412936
adult-bone-marrow-2,10827158,5014861,10540249,286909,5525388,143877
adult-brain-1,44035998,7836207,42952051,1083947,35115844,330755
adult-cervix-1,23320722,9288779,22424077,896645,13135298,426626
adult-esophagus-1,13088986,2309235,12631538,457448,10322303,83416
adult-fallopian-tube-1,13365474,2574634,13015849,349625,10441215,94818
adult-gall-bladder-1,11328200,6515380,10849215,478985,4333835,236163
adult-gall-bladder-2,21658223,4942026,21147068,511155,16205042,190912
adult-heart-1,57686047,4096017,56193646,1492401,52097629,130965
adult-heart-2,15420591,8723305,15177866,242725,6454561,261294
adult-intestine-1,17670142,9973771,17336602,333540,7362831,317745
adult-intestine-2,16538362,2963714,16138063,400299,13174349,120259
adult-intestine-3,27885976,17471227,27370064,515912,9898837,583685
adult-intestine-4,46131026,14111064,44169168,1961858,30058104,833768
adult-intestine-5,12357927,2995961,12082889,275038,9086928,79008
adult-intestine-6,48697569,33482825,46675751,2021818,13192926,1574899
adult-kidney-2,12017632,4388392,11744596,273036,7356204,171615
adult-kidney-3,57366182,7049769,55810771,1555411,48761002,269682
adult-kidney-4.1,25763484,5781617,24877573,885911,19095956,315750
adult-kidney-4.2,15325478,4304962,14812037,513441,10507075,222067
adult-liver-1.1,15735405,1216170,15106032,629373,13889862,49037
adult-liver-1.2,28141020,2147381,26980386,1160634,24833005,90879
adult-liver-2,26309420,3005505,25473146,836274,22467641,137639
adult-liver-4.1,3924845,637747,3779481,145364,3141734,18504
adult-liver-4.2,3705197,610614,3559676,145521,2949062,29402
adult-lung-1,82932495,17136251,79165548,3766947,62029297,656227
adult-lung-2,27886695,6583981,26783715,1102980,20199734,263830
adult-lung-3.1,8966393,2445972,8609302,357091,6163330,159629
adult-lung-3.2,12051813,3474019,11571003,480810,8096984,222423
adult-lung-3.3,8715630,2428309,8368609,347021,5940300,157060
adult-lung-3.4,10712927,3031294,10286374,426553,7255080,209963
adult-muscle-1,51725147,14862425,49976712,1748435,35114287,557308
