celltype_id,strand,cts_total
100-b-cell,+,8588
101-kidney-intercalated-cell,+,9476
102-adrenal-gland-inflammatory-cell,+,9474
10-fetal-stromal-cell,+,92169
11-fetal-neuron,+,185117
12-erythroid-progenitor-cell-rp-high,+,190095
13-monocyte,+,150192
14-b-cell-plasmocyte,+,139385
15-fetal-enterocyte,+,143330
16-hepatocyte-endodermal-cell,+,121785
17-fetal-fibroblast,+,138255
18-fibroblast,+,154598
19-fetal-mesenchymal-progenitor,+,126814
1-fetal-epithelial-progenitor,+,240983
20-endothelial-cell,+,159006
21-fetal-stromal-cell,+,199963
22-dendritic-cell,+,137204
23-cb-cd34p,+,142654
24-t-cell,+,150849
25-loop-of-henle,+,138854
26-erythroid-cell,+,112913
27-stromal-cell,+,96396
28-oligodendrocyte,+,249354
29-endothelial-cell,+,89856
2-macrophage,+,236256
30-at2-cell,+,166122
31-monocyte,+,109893
32-thyroid-follicular-cell,+,141889
33-smooth-muscle-cell,+,90623
34-fibroblast,+,112589
35-smooth-muscle-cell,+,101915
36-fibroblast,+,55282
37-b-cell,+,125886
38-epithelial-cell,+,62492
39-enterocyte,+,155518
3-b-cell-plasmocyte,+,156170
40-neutrophil-rps-high,+,78578
41-antigen-presenting-cell-rps-high,+,86782
42-smooth-muscle-cell,+,87222
43-fetal-chondrocyte,+,90227
44-pancreas-exocrine-cell,+,37719
45-macrophage,+,198080
46-neutrophil,+,103567
47-m2-macrophage,+,100592
48-neutrophil,+,87455
49-epithelial-cell,+,67349
4-fibroblast,+,127803
50-gastric-chief-cell,+,89781
51-macrophage,+,82009
52-proliferating-t-cell,+,62720
53-fetal-neuron,+,89697
54-goblet-cell,+,114216
55-fasciculata-cell,+,42670
56-intercalated-cell,+,91151
57-stratified-epithelial-cell,+,84913
58-stromal-cell,+,61825
59-epithelial-cell,+,115902
5-fasciculata-cell,+,100331
60-epithelial-cell-intermediated,+,70633
61-sinusoidal-endothelial-cell,+,56644
62-primordial-germ-cell,+,105393
63-fasciculata-cell,+,81417
64-fetal-skeletal-muscle-cell,+,42929
65-enterocyte-progenitor,+,28492
66-endothelial-cell-emt,+,111440
67-basal-cell,+,72700
68-astrocyte,+,90731
69-macrophage,+,69076
6-t-cell,+,220413
70-fibroblast,+,38502
71-fetal-acinar-cell,+,56201
72-stromal-cell,+,101575
73-basal-cell,+,43508
74-ventricle-cardiomyocyte,+,71744
75-erythroid-cell,+,46982
76-mesothelial-cell,+,44566
77-ureteric-bud-cell,+,39192
78-macrophage,+,50030
79-smooth-muscle-cell,+,57350
7-fetal-mesenchymal-progenitor,+,276382
80-enterocyte,+,103579
81-epithelial-cell,+,77054
82-stratified-epithelial-cell,+,54866
83-proximal-tubule-progenitor,+,50915
84-gastric-endocrine-cell,+,36595
85-erythroid-cell,+,41949
86-mast-cell,+,38597
87-hesc,+,55619
88-fetal-endocrine-cell,+,51897
89-neutrophil,+,42017
8-endothelial-cell-apc,+,184325
90-goblet-cell,+,78598
91-goblet-cell,+,24988
92-immature-sertoli-cell,+,85623
93-myeloid-cell,+,20070
94-dendritic-cell,+,26896
95-stromal-cell,+,20277
96-fetal-neuron,+,19799
97-intermediated-cell,+,14198
98-epithelial-cell,+,22527
99-chondrocyte,+,13952
9-enterocyte-progenitor,+,235639
100-b-cell,-,8363
101-kidney-intercalated-cell,-,8926
102-adrenal-gland-inflammatory-cell,-,9115
10-fetal-stromal-cell,-,94161
11-fetal-neuron,-,187563
12-erythroid-progenitor-cell-rp-high,-,195289
13-monocyte,-,152135
14-b-cell-plasmocyte,-,141476
15-fetal-enterocyte,-,144969
16-hepatocyte-endodermal-cell,-,122746
17-fetal-fibroblast,-,139009
18-fibroblast,-,154789
19-fetal-mesenchymal-progenitor,-,127847
1-fetal-epithelial-progenitor,-,243418
20-endothelial-cell,-,161890
21-fetal-stromal-cell,-,203264
22-dendritic-cell,-,138272
23-cb-cd34p,-,144191
24-t-cell,-,152126
25-loop-of-henle,-,139314
26-erythroid-cell,-,116045
27-stromal-cell,-,96807
28-oligodendrocyte,-,253213
29-endothelial-cell,-,89833
2-macrophage,-,236716
30-at2-cell,-,167432
31-monocyte,-,111647
32-thyroid-follicular-cell,-,141660
33-smooth-muscle-cell,-,88775
34-fibroblast,-,112152
35-smooth-muscle-cell,-,102132
36-fibroblast,-,54847
37-b-cell,-,125753
38-epithelial-cell,-,62963
39-enterocyte,-,153184
3-b-cell-plasmocyte,-,157667
40-neutrophil-rps-high,-,79264
41-antigen-presenting-cell-rps-high,-,87060
42-smooth-muscle-cell,-,86447
43-fetal-chondrocyte,-,93472
44-pancreas-exocrine-cell,-,37265
45-macrophage,-,199722
46-neutrophil,-,105875
47-m2-macrophage,-,100592
48-neutrophil,-,89067
