celltype_id,strand,cts_total
100-b-cell,+,9438
101-kidney-intercalated-cell,+,10579
102-adrenal-gland-inflammatory-cell,+,10427
10-fetal-stromal-cell,+,14113
11-fetal-neuron,+,17484
12-erythroid-progenitor-cell-rp-high,+,9628
13-monocyte,+,13812
14-b-cell-plasmocyte,+,8544
15-fetal-enterocyte,+,13229
16-hepatocyte-endodermal-cell,+,12549
17-fetal-fibroblast,+,16150
18-fibroblast,+,14167
19-fetal-mesenchymal-progenitor,+,14529
1-fetal-epithelial-progenitor,+,15864
20-endothelial-cell,+,16110
21-fetal-stromal-cell,+,16120
22-dendritic-cell,+,12484
23-cb-cd34p,+,11601
24-t-cell,+,12905
25-loop-of-henle,+,13529
26-erythroid-cell,+,8230
27-stromal-cell,+,14533
28-oligodendrocyte,+,18700
29-endothelial-cell,+,14058
2-macrophage,+,15215
30-at2-cell,+,16168
31-monocyte,+,11992
32-thyroid-follicular-cell,+,15830
33-smooth-muscle-cell,+,14102
34-fibroblast,+,13020
35-smooth-muscle-cell,+,16174
36-fibroblast,+,11888
37-b-cell,+,12366
38-epithelial-cell,+,10673
39-enterocyte,+,12083
3-b-cell-plasmocyte,+,7537
40-neutrophil-rps-high,+,10688
41-antigen-presenting-cell-rps-high,+,11952
42-smooth-muscle-cell,+,14918
43-fetal-chondrocyte,+,12582
44-pancreas-exocrine-cell,+,8780
45-macrophage,+,18261
46-neutrophil,+,12495
47-m2-macrophage,+,12136
48-neutrophil,+,14462
49-epithelial-cell,+,13784
4-fibroblast,+,17623
50-gastric-chief-cell,+,3440
51-macrophage,+,14789
52-proliferating-t-cell,+,12981
53-fetal-neuron,+,16884
54-goblet-cell,+,10464
55-fasciculata-cell,+,15703
56-intercalated-cell,+,14176
57-stratified-epithelial-cell,+,13690
58-stromal-cell,+,10907
59-epithelial-cell,+,12915
5-fasciculata-cell,+,10367
60-epithelial-cell-intermediated,+,11309
61-sinusoidal-endothelial-cell,+,17163
62-primordial-germ-cell,+,18333
63-fasciculata-cell,+,10685
64-fetal-skeletal-muscle-cell,+,15102
65-enterocyte-progenitor,+,10736
66-endothelial-cell-emt,+,18353
67-basal-cell,+,13033
68-astrocyte,+,18200
69-macrophage,+,17704
6-t-cell,+,10243
70-fibroblast,+,13832
71-fetal-acinar-cell,+,18165
72-stromal-cell,+,16803
73-basal-cell,+,12658
74-ventricle-cardiomyocyte,+,13470
75-erythroid-cell,+,12339
76-mesothelial-cell,+,16976
77-ureteric-bud-cell,+,15134
78-macrophage,+,16440
79-smooth-muscle-cell,+,16960
7-fetal-mesenchymal-progenitor,+,15803
80-enterocyte,+,14734
81-epithelial-cell,+,11050
82-stratified-epithelial-cell,+,16340
83-proximal-tubule-progenitor,+,19568
84-gastric-endocrine-cell,+,14934
85-erythroid-cell,+,12658
86-mast-cell,+,15458
87-hesc,+,14910
88-fetal-endocrine-cell,+,16298
89-neutrophil,+,14485
8-endothelial-cell-apc,+,16023
90-goblet-cell,+,13339
91-goblet-cell,+,16323
92-immature-sertoli-cell,+,22377
93-myeloid-cell,+,21773
94-dendritic-cell,+,17662
95-stromal-cell,+,22407
96-fetal-neuron,+,21620
97-intermediated-cell,+,15533
98-epithelial-cell,+,24195
99-chondrocyte,+,15119
9-enterocyte-progenitor,+,11091
100-b-cell,-,9236
101-kidney-intercalated-cell,-,9992
102-adrenal-gland-inflammatory-cell,-,10081
10-fetal-stromal-cell,-,14091
11-fetal-neuron,-,16975
12-erythroid-progenitor-cell-rp-high,-,9275
13-monocyte,-,13545
14-b-cell-plasmocyte,-,8116
15-fetal-enterocyte,-,12694
16-hepatocyte-endodermal-cell,-,11964
17-fetal-fibroblast,-,15452
18-fibroblast,-,13650
19-fetal-mesenchymal-progenitor,-,14193
1-fetal-epithelial-progenitor,-,15142
20-endothelial-cell,-,15822
21-fetal-stromal-cell,-,15654
22-dendritic-cell,-,11899
23-cb-cd34p,-,11339
24-t-cell,-,12144
25-loop-of-henle,-,12909
26-erythroid-cell,-,7829
27-stromal-cell,-,14168
28-oligodendrocyte,-,18191
29-endothelial-cell,-,13644
2-macrophage,-,14497
30-at2-cell,-,15956
31-monocyte,-,11380
32-thyroid-follicular-cell,-,15137
33-smooth-muscle-cell,-,13576
34-fibroblast,-,12351
35-smooth-muscle-cell,-,15471
36-fibroblast,-,11571
37-b-cell,-,11713
38-epithelial-cell,-,10083
39-enterocyte,-,11005
3-b-cell-plasmocyte,-,7174
40-neutrophil-rps-high,-,10523
41-antigen-presenting-cell-rps-high,-,11432
42-smooth-muscle-cell,-,14110
43-fetal-chondrocyte,-,12760
44-pancreas-exocrine-cell,-,8319
45-macrophage,-,17249
46-neutrophil,-,12264
47-m2-macrophage,-,11608
48-neutrophil,-,14343
49-epithelial-cell,-,13542
4-fibroblast,-,16782
50-gastric-chief-cell,-,2931
51-macrophage,-,14430
52-proliferating-t-cell,-,12507
53-fetal-neuron,-,16239
54-goblet-cell,-,9588
55-fasciculata-cell,-,15160
56-intercalated-cell,-,13538
57-stratified-epithelial-cell,-,13153
58-stromal-cell,-,10365
59-epithelial-cell,-,12349
5-fasciculata-cell,-,9824
60-epithelial-cell-intermediated,-,10775
61-sinusoidal-endothelial-cell,-,16604
62-primordial-germ-cell,-,17068
63-fasciculata-cell,-,10186
64-fetal-skeletal-muscle-cell,-,14757
65-enterocyte-progenitor,-,10061
66-endothelial-cell-emt,-,17911
67-basal-cell,-,12281
68-astrocyte,-,17938
69-macrophage,-,17205
6-t-cell,-,9662
70-fibroblast,-,13373
71-fetal-acinar-cell,-,17452
72-stromal-cell,-,16363
73-basal-cell,-,12087
74-ventricle-cardiomyocyte,-,12934
75-erythroid-cell,-,12176
76-mesothelial-cell,-,15885
77-ureteric-bud-cell,-,14777
78-macrophage,-,16025
79-smooth-muscle-cell,-,16524
7-fetal-mesenchymal-progenitor,-,15182
80-enterocyte,-,14054
81-epithelial-cell,-,10305
82-stratified-epithelial-cell,-,15267
83-proximal-tubule-progenitor,-,19112
84-gastric-endocrine-cell,-,14107
85-erythroid-cell,-,12225
86-mast-cell,-,14791
87-hesc,-,14363
88-fetal-endocrine-cell,-,15769
89-neutrophil,-,14342
8-endothelial-cell-apc,-,15577
90-goblet-cell,-,12397
91-goblet-cell,-,15361
92-immature-sertoli-cell,-,21506
93-myeloid-cell,-,21128
94-dendritic-cell,-,17203
95-stromal-cell,-,22051
96-fetal-neuron,-,21527
97-intermediated-cell,-,14965
98-epithelial-cell,-,24170
99-chondrocyte,-,14981
9-enterocyte-progenitor,-,9990
