sample,cts_total,cts_assembled,cts_unassembled,cts_discarded,pct_assembled,pct_unassembled,pct_discarded
adult-adipose-1,140418962,55096206,85322756,0,39.237,60.763,0.000
adult-adrenal-gland-1,213471808,47034779,166437029,0,22.033,77.967,0.000
adult-adrenal-gland-2,86685388,34855203,51830185,0,40.209,59.791,0.000
adult-artery-1,245752702,49569328,196183344,30,20.170,79.830,0.000
adult-bladder-1,169162033,34574082,134587951,0,20.438,79.562,0.000
adult-bladder-2,146931471,51614005,95317466,0,35.128,64.872,0.000
adult-bone-marrow-1,39567629,22584658,16982971,0,57.079,42.921,0.000
adult-bone-marrow-2,67574030,10827158,56746872,0,16.023,83.977,0.000
adult-brain-1,177821386,44035998,133785154,234,24.764,75.236,0.000
adult-cervix-1,136399779,23320722,113079041,16,17.097,82.903,0.000
adult-esophagus-1,72255048,13088986,59166062,0,18.115,81.885,0.000
adult-fallopian-tube-1,106495722,13365474,93130230,18,12.550,87.450,0.000
adult-gall-bladder-1,60908958,11328200,49580758,0,18.599,81.401,0.000
adult-gall-bladder-2,84187991,21658223,62529768,0,25.726,74.274,0.000
adult-heart-1,230261210,57686047,172575163,0,25.052,74.948,0.000
adult-heart-2,64174289,15420591,48753698,0,24.029,75.971,0.000
adult-intestine-1,69984387,17670142,52314245,0,25.249,74.751,0.000
adult-intestine-2,77785450,16538362,61247088,0,21.262,78.738,0.000
adult-intestine-3,113098769,27885976,85212793,0,24.656,75.344,0.000
adult-intestine-4,109980212,46131026,63849186,0,41.945,58.055,0.000
adult-intestine-5,94749629,12357927,82391702,0,13.043,86.957,0.000
adult-intestine-6,122323341,48697569,73625772,0,39.811,60.189,0.000
adult-kidney-2,216459073,12017632,204441441,0,5.552,94.448,0.000
adult-kidney-3,283708557,57366182,226342357,18,20.220,79.780,0.000
adult-kidney-4.1,50684022,25763484,24920538,0,50.832,49.168,0.000
adult-kidney-4.2,35392899,15325478,20067421,0,43.301,56.699,0.000
adult-liver-1.1,60742800,15735405,45007395,0,25.905,74.095,0.000
adult-liver-1.2,100379391,28141020,72238371,0,28.035,71.965,0.000
adult-liver-2,211183546,26309420,184874126,0,12.458,87.542,0.000
adult-liver-4.1,104419137,3924845,100494292,0,3.759,96.241,0.000
adult-liver-4.2,64709259,3705197,61004062,0,5.726,94.274,0.000
adult-lung-1,209287798,82932495,126355303,0,39.626,60.374,0.000
adult-lung-2,102000142,27886695,74113447,0,27.340,72.660,0.000
adult-lung-3.1,33063717,8966393,24097324,0,27.119,72.881,0.000
adult-lung-3.2,42618108,12051813,30566295,0,28.279,71.721,0.000
adult-lung-3.3,37785010,8715630,29069380,0,23.066,76.934,0.000
adult-lung-3.4,41976931,10712927,31264004,0,25.521,74.479,0.000
adult-muscle-1,242758617,51725147,191033470,0,21.307,78.693,0.000
adult-omentum-2,106228365,14541651,91686683,31,13.689,86.311,0.000
adult-omentum-3,110328395,45551584,64776811,0,41.287,58.713,0.000
adult-pancreas-1,82968407,16212517,66755890,0,19.541,80.459,0.000
adult-peripheral-blood-1,57263873,32073626,25190247,0,56.010,43.990,0.000
adult-peripheral-blood-2,418175194,51634469,366540619,106,12.348,87.652,0.000
adult-peripheral-blood-3.1,80851783,20258664,60593119,0,25.057,74.943,0.000
adult-peripheral-blood-3.2,69602940,17181969,52420971,0,24.686,75.314,0.000
